training_step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - _step__MAX,lr5e-5,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-iii__MIN,sso01-adamw-lr5e-5-freeze.base-305bhnsz - training/f1_score-iii__MAX,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - _step__MAX,lr3e-5,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-iii__MIN,sso01-adamw-lr3e-5-freeze.base-3bbxzpcn - training/f1_score-iii__MAX,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - _step__MAX,lr2e-5,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-iii__MIN,sso01-adamw-lr2e-5-freeze.base-1q52u19t - training/f1_score-iii__MAX,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - _step__MAX,lr1e-5,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-iii__MIN,sso01-adamw-lr1e-5-freeze.base-fhl33ov3 - training/f1_score-iii__MAX,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - _step__MAX,lr2e-4,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-iii__MIN,sso01-adamw-lr2e-4-freeze.base-2xdgctfn - training/f1_score-iii__MAX,sso01-adamw-freeze.base-30v736in - _step,sso01-adamw-freeze.base-30v736in - _step__MIN,sso01-adamw-freeze.base-30v736in - _step__MAX,lr4e-4,sso01-adamw-freeze.base-30v736in - training/f1_score-iii__MIN,sso01-adamw-freeze.base-30v736in - training/f1_score-iii__MAX
72,649,649,649,0.220718689,0.220718689,0.220718689,649,649,649,0.431164902,0.431164902,0.431164902,649,649,649,0.202217364,0.202217364,0.202217364,649,649,649,0.167092244,0.167092244,0.167092244,649,649,649,0.602151677,0.602151677,0.602151677,649,649,649,0.57402746,0.57402746,0.57402746
73,658,658,658,0.223426679,0.223426679,0.223426679,658,658,658,0.413147914,0.413147914,0.413147914,658,658,658,0.214555839,0.214555839,0.214555839,658,658,658,0.172697109,0.172697109,0.172697109,658,658,658,0.620816477,0.620816477,0.620816477,658,658,658,0.590837989,0.590837989,0.590837989
74,667,667,667,0.227842368,0.227842368,0.227842368,667,667,667,0.430336654,0.430336654,0.430336654,667,667,667,0.208080808,0.208080808,0.208080808,667,667,667,0.17289459,0.17289459,0.17289459,667,667,667,0.611178295,0.611178295,0.611178295,667,667,667,0.592526192,0.592526192,0.592526192
75,676,676,676,0.238577212,0.238577212,0.238577212,676,676,676,0.410346339,0.410346339,0.410346339,676,676,676,0.180236551,0.180236551,0.180236551,676,676,676,0.169908511,0.169908511,0.169908511,676,676,676,0.55952381,0.55952381,0.55952381,676,676,676,0.537378613,0.537378613,0.537378613
76,685,685,685,0.242951326,0.242951326,0.242951326,685,685,685,0.419757554,0.419757554,0.419757554,685,685,685,0.205337017,0.205337017,0.205337017,685,685,685,0.176988531,0.176988531,0.176988531,685,685,685,0.603996737,0.603996737,0.603996737,685,685,685,0.585878067,0.585878067,0.585878067
77,694,694,694,0.236228505,0.236228505,0.236228505,694,694,694,0.413245861,0.413245861,0.413245861,694,694,694,0.189436727,0.189436727,0.189436727,694,694,694,0.175019275,0.175019275,0.175019275,694,694,694,0.581235698,0.581235698,0.581235698,694,694,694,0.559706624,0.559706624,0.559706624
78,703,703,703,0.231907895,0.231907895,0.231907895,703,703,703,0.394681056,0.394681056,0.394681056,703,703,703,0.228173703,0.228173703,0.228173703,703,703,703,0.173607313,0.173607313,0.173607313,703,703,703,0.627116894,0.627116894,0.627116894,703,703,703,0.605087892,0.605087892,0.605087892
79,712,712,712,0.236745682,0.236745682,0.236745682,712,712,712,0.433475855,0.433475855,0.433475855,712,712,712,0.207535322,0.207535322,0.207535322,712,712,712,0.177016417,0.177016417,0.177016417,712,712,712,0.60514258,0.60514258,0.60514258,712,712,712,0.574767166,0.574767166,0.574767166
80,721,721,721,0.223282577,0.223282577,0.223282577,721,721,721,0.403481204,0.403481204,0.403481204,721,721,721,0.220133846,0.220133846,0.220133846,721,721,721,0.183944788,0.183944788,0.183944788,721,721,721,0.648153648,0.648153648,0.648153648,721,721,721,0.60080688,0.60080688,0.60080688
81,730,730,730,0.233599759,0.233599759,0.233599759,730,730,730,0.374341412,0.374341412,0.374341412,730,730,730,0.218778908,0.218778908,0.218778908,730,730,730,0.156117128,0.156117128,0.156117128,730,730,730,0.604543993,0.604543993,0.604543993,730,730,730,0.576171875,0.576171875,0.576171875
82,739,739,739,0.235844916,0.235844916,0.235844916,739,739,739,0.423328556,0.423328556,0.423328556,739,739,739,0.242191538,0.242191538,0.242191538,739,739,739,0.186864439,0.186864439,0.186864439,739,739,739,0.631676158,0.631676158,0.631676158,739,739,739,0.608288328,0.608288328,0.608288328
83,748,748,748,0.227486129,0.227486129,0.227486129,748,748,748,0.394658385,0.394658385,0.394658385,748,748,748,0.231393096,0.231393096,0.231393096,748,748,748,0.195506446,0.195506446,0.195506446,748,748,748,0.653166529,0.653166529,0.653166529,748,748,748,0.611152103,0.611152103,0.611152103
84,757,757,757,0.265881846,0.265881846,0.265881846,757,757,757,0.374215849,0.374215849,0.374215849,757,757,757,0.187485605,0.187485605,0.187485605,757,757,757,0.181357104,0.181357104,0.181357104,757,757,757,0.603932884,0.603932884,0.603932884,757,757,757,0.542743072,0.542743072,0.542743072
85,766,766,766,0.249701566,0.249701566,0.249701566,766,766,766,0.408485446,0.408485446,0.408485446,766,766,766,0.214997454,0.214997454,0.214997454,766,766,766,0.202431522,0.202431522,0.202431522,766,766,766,0.629282219,0.629282219,0.629282219,766,766,766,0.587339257,0.587339257,0.587339257
86,775,775,775,0.260469794,0.260469794,0.260469794,775,775,775,0.427124506,0.427124506,0.427124506,775,775,775,0.171890643,0.171890643,0.171890643,775,775,775,0.169608596,0.169608596,0.169608596,775,775,775,0.591852337,0.591852337,0.591852337,775,775,775,0.561200654,0.561200654,0.561200654
87,784,784,784,0.251988035,0.251988035,0.251988035,784,784,784,0.406980447,0.406980447,0.406980447,784,784,784,0.192451392,0.192451392,0.192451392,784,784,784,0.187731196,0.187731196,0.187731196,784,784,784,0.592165899,0.592165899,0.592165899,784,784,784,0.576845862,0.576845862,0.576845862
88,793,793,793,0.251547876,0.251547876,0.251547876,793,793,793,0.391387195,0.391387195,0.391387195,793,793,793,0.206828826,0.206828826,0.206828826,793,793,793,0.194579781,0.194579781,0.194579781,793,793,793,0.610681361,0.610681361,0.610681361,793,793,793,0.589875857,0.589875857,0.589875857
89,802,802,802,0.251488292,0.251488292,0.251488292,802,802,802,0.407890102,0.407890102,0.407890102,802,802,802,0.202055031,0.202055031,0.202055031,802,802,802,0.198311652,0.198311652,0.198311652,802,802,802,0.638670252,0.638670252,0.638670252,802,802,802,0.606728719,0.606728719,0.606728719
90,811,811,811,0.247881356,0.247881356,0.247881356,811,811,811,0.405594406,0.405594406,0.405594406,811,811,811,0.21630094,0.21630094,0.21630094,811,811,811,0.182036696,0.182036696,0.182036696,811,811,811,0.614323328,0.614323328,0.614323328,811,811,811,0.594445383,0.594445383,0.594445383
91,820,820,820,0.25354342,0.25354342,0.25354342,820,820,820,0.413018939,0.413018939,0.413018939,820,820,820,0.212091626,0.212091626,0.212091626,820,820,820,0.189686644,0.189686644,0.189686644,820,820,820,0.631995071,0.631995071,0.631995071,820,820,820,0.63102475,0.63102475,0.63102475
92,829,829,829,0.244645341,0.244645341,0.244645341,829,829,829,0.373509102,0.373509102,0.373509102,829,829,829,0.25278654,0.25278654,0.25278654,829,829,829,0.17978022,0.17978022,0.17978022,829,829,829,0.640260717,0.640260717,0.640260717,829,829,829,0.619352133,0.619352133,0.619352133
93,838,838,838,0.247284392,0.247284392,0.247284392,838,838,838,0.392891146,0.392891146,0.392891146,838,838,838,0.212187571,0.212187571,0.212187571,838,838,838,0.191155055,0.191155055,0.191155055,838,838,838,0.600411892,0.600411892,0.600411892,838,838,838,0.591786077,0.591786077,0.591786077
94,847,847,847,0.237427865,0.237427865,0.237427865,847,847,847,0.411981684,0.411981684,0.411981684,847,847,847,0.232420091,0.232420091,0.232420091,847,847,847,0.183304781,0.183304781,0.183304781,847,847,847,0.636709984,0.636709984,0.636709984,847,847,847,0.612169843,0.612169843,0.612169843
95,856,856,856,0.255226164,0.255226164,0.255226164,856,856,856,0.406520762,0.406520762,0.406520762,856,856,856,0.227176542,0.227176542,0.227176542,856,856,856,0.194773251,0.194773251,0.194773251,856,856,856,0.626705858,0.626705858,0.626705858,856,856,856,0.602272091,0.602272091,0.602272091
96,865,865,865,0.253763135,0.253763135,0.253763135,865,865,865,0.387859825,0.387859825,0.387859825,865,865,865,0.202529773,0.202529773,0.202529773,865,865,865,0.181858936,0.181858936,0.181858936,865,865,865,0.614244082,0.614244082,0.614244082,865,865,865,0.580004366,0.580004366,0.580004366
97,874,874,874,0.23266695,0.23266695,0.23266695,874,874,874,0.426179604,0.426179604,0.426179604,874,874,874,0.225445623,0.225445623,0.225445623,874,874,874,0.195476575,0.195476575,0.195476575,874,874,874,0.635276382,0.635276382,0.635276382,874,874,874,0.624973634,0.624973634,0.624973634
98,883,883,883,0.269789862,0.269789862,0.269789862,883,883,883,0.368524947,0.368524947,0.368524947,883,883,883,0.177584652,0.177584652,0.177584652,883,883,883,0.181877445,0.181877445,0.181877445,883,883,883,0.555549169,0.555549169,0.555549169,883,883,883,0.513774192,0.513774192,0.513774192
99,892,892,892,0.260513234,0.260513234,0.260513234,892,892,892,0.422573577,0.422573577,0.422573577,892,892,892,0.227253843,0.227253843,0.227253843,892,892,892,0.189795485,0.189795485,0.189795485,892,892,892,0.651925276,0.651925276,0.651925276,892,892,892,0.620385396,0.620385396,0.620385396
100,901,901,901,0.249606412,0.249606412,0.249606412,901,901,901,0.375246454,0.375246454,0.375246454,901,901,901,0.200359928,0.200359928,0.200359928,901,901,901,0.177297955,0.177297955,0.177297955,901,901,901,0.597019726,0.597019726,0.597019726,901,901,901,0.576253838,0.576253838,0.576253838
101,910,910,910,0.256320958,0.256320958,0.256320958,910,910,910,0.404207643,0.404207643,0.404207643,910,910,910,0.205565268,0.205565268,0.205565268,910,910,910,0.196250732,0.196250732,0.196250732,910,910,910,0.62221996,0.62221996,0.62221996,910,910,910,0.597967128,0.597967128,0.597967128
102,919,919,919,0.257408166,0.257408166,0.257408166,919,919,919,0.403363363,0.403363363,0.403363363,919,919,919,0.216768336,0.216768336,0.216768336,919,919,919,0.184695052,0.184695052,0.184695052,919,919,919,0.624371296,0.624371296,0.624371296,919,919,919,0.618155395,0.618155395,0.618155395
103,928,928,928,0.253864678,0.253864678,0.253864678,928,928,928,0.359622773,0.359622773,0.359622773,928,928,928,0.238312886,0.238312886,0.238312886,928,928,928,0.192466546,0.192466546,0.192466546,928,928,928,0.586168924,0.586168924,0.586168924,928,928,928,0.566197519,0.566197519,0.566197519
104,937,937,937,0.27695155,0.27695155,0.27695155,937,937,937,0.409637114,0.409637114,0.409637114,937,937,937,0.197802198,0.197802198,0.197802198,937,937,937,0.193890539,0.193890539,0.193890539,937,937,937,0.586715867,0.586715867,0.586715867,937,937,937,0.585600847,0.585600847,0.585600847
105,946,946,946,0.279196316,0.279196316,0.279196316,946,946,946,0.399497014,0.399497014,0.399497014,946,946,946,0.231774064,0.231774064,0.231774064,946,946,946,0.22967346,0.22967346,0.22967346,946,946,946,0.646334778,0.646334778,0.646334778,946,946,946,0.643894198,0.643894198,0.643894198
106,955,955,955,0.258979777,0.258979777,0.258979777,955,955,955,0.375203694,0.375203694,0.375203694,955,955,955,0.250174486,0.250174486,0.250174486,955,955,955,0.201150344,0.201150344,0.201150344,955,955,955,0.626093371,0.626093371,0.626093371,955,955,955,0.60913649,0.60913649,0.60913649
107,964,964,964,0.273810325,0.273810325,0.273810325,964,964,964,0.406773489,0.406773489,0.406773489,964,964,964,0.253183832,0.253183832,0.253183832,964,964,964,0.223334508,0.223334508,0.223334508,964,964,964,0.660377358,0.660377358,0.660377358,964,964,964,0.648304653,0.648304653,0.648304653
108,973,973,973,0.263062792,0.263062792,0.263062792,973,973,973,0.387678039,0.387678039,0.387678039,973,973,973,0.240266274,0.240266274,0.240266274,973,973,973,0.199090692,0.199090692,0.199090692,973,973,973,0.629755258,0.629755258,0.629755258,973,973,973,0.622925596,0.622925596,0.622925596
109,982,982,982,0.272784588,0.272784588,0.272784588,982,982,982,0.391251828,0.391251828,0.391251828,982,982,982,0.254300998,0.254300998,0.254300998,982,982,982,0.205307887,0.205307887,0.205307887,982,982,982,0.652854877,0.652854877,0.652854877,982,982,982,0.649493068,0.649493068,0.649493068
110,991,991,991,0.278404483,0.278404483,0.278404483,991,991,991,0.374667376,0.374667376,0.374667376,991,991,991,0.212090719,0.212090719,0.212090719,991,991,991,0.196795979,0.196795979,0.196795979,991,991,991,0.600376041,0.600376041,0.600376041,991,991,991,0.608189777,0.608189777,0.608189777
111,1000,1000,1000,0.254333576,0.254333576,0.254333576,1000,1000,1000,0.417623532,0.417623532,0.417623532,1000,1000,1000,0.236938486,0.236938486,0.236938486,1000,1000,1000,0.222626354,0.222626354,0.222626354,1000,1000,1000,0.64766947,0.64766947,0.64766947,1000,1000,1000,0.633348076,0.633348076,0.633348076
112,1009,1009,1009,0.281772076,0.281772076,0.281772076,1009,1009,1009,0.387952766,0.387952766,0.387952766,1009,1009,1009,0.22984375,0.22984375,0.22984375,1009,1009,1009,0.223798266,0.223798266,0.223798266,1009,1009,1009,0.617235943,0.617235943,0.617235943,1009,1009,1009,0.615179908,0.615179908,0.615179908
113,1018,1018,1018,0.297684988,0.297684988,0.297684988,1018,1018,1018,0.368094924,0.368094924,0.368094924,1018,1018,1018,0.203525762,0.203525762,0.203525762,1018,1018,1018,0.195931478,0.195931478,0.195931478,1018,1018,1018,0.590944779,0.590944779,0.590944779,1018,1018,1018,0.58572133,0.58572133,0.58572133
114,1027,1027,1027,0.292617068,0.292617068,0.292617068,1027,1027,1027,0.403304932,0.403304932,0.403304932,1027,1027,1027,0.212045265,0.212045265,0.212045265,1027,1027,1027,0.198651134,0.198651134,0.198651134,1027,1027,1027,0.612530959,0.612530959,0.612530959,1027,1027,1027,0.603750419,0.603750419,0.603750419
115,1036,1036,1036,0.292714564,0.292714564,0.292714564,1036,1036,1036,0.39838194,0.39838194,0.39838194,1036,1036,1036,0.237779119,0.237779119,0.237779119,1036,1036,1036,0.210485796,0.210485796,0.210485796,1036,1036,1036,0.629465697,0.629465697,0.629465697,1036,1036,1036,0.633778615,0.633778615,0.633778615
116,1045,1045,1045,0.300280572,0.300280572,0.300280572,1045,1045,1045,0.373589529,0.373589529,0.373589529,1045,1045,1045,0.238158088,0.238158088,0.238158088,1045,1045,1045,0.213773208,0.213773208,0.213773208,1045,1045,1045,0.643849717,0.643849717,0.643849717,1045,1045,1045,0.632572265,0.632572265,0.632572265
117,1054,1054,1054,0.289232453,0.289232453,0.289232453,1054,1054,1054,0.391012364,0.391012364,0.391012364,1054,1054,1054,0.227360862,0.227360862,0.227360862,1054,1054,1054,0.201141853,0.201141853,0.201141853,1054,1054,1054,0.630625127,0.630625127,0.630625127,1054,1054,1054,0.606434979,0.606434979,0.606434979
118,1063,1063,1063,0.31288501,0.31288501,0.31288501,1063,1063,1063,0.393320519,0.393320519,0.393320519,1063,1063,1063,0.175892542,0.175892542,0.175892542,1063,1063,1063,0.206834157,0.206834157,0.206834157,1063,1063,1063,0.585149231,0.585149231,0.585149231,1063,1063,1063,0.571335997,0.571335997,0.571335997
119,1072,1072,1072,0.281747931,0.281747931,0.281747931,1072,1072,1072,0.390130001,0.390130001,0.390130001,1072,1072,1072,0.234259987,0.234259987,0.234259987,1072,1072,1072,0.208950886,0.208950886,0.208950886,1072,1072,1072,0.627827767,0.627827767,0.627827767,1072,1072,1072,0.593196392,0.593196392,0.593196392
120,1081,1081,1081,0.287151288,0.287151288,0.287151288,1081,1081,1081,0.393971086,0.393971086,0.393971086,1081,1081,1081,0.225917835,0.225917835,0.225917835,1081,1081,1081,0.21308092,0.21308092,0.21308092,1081,1081,1081,0.620897623,0.620897623,0.620897623,1081,1081,1081,0.590211441,0.590211441,0.590211441
121,1090,1090,1090,0.292761828,0.292761828,0.292761828,1090,1090,1090,0.355967732,0.355967732,0.355967732,1090,1090,1090,0.236683024,0.236683024,0.236683024,1090,1090,1090,0.214988863,0.214988863,0.214988863,1090,1090,1090,0.609534504,0.609534504,0.609534504,1090,1090,1090,0.586289185,0.586289185,0.586289185
122,1099,1099,1099,0.307371168,0.307371168,0.307371168,1099,1099,1099,0.374454484,0.374454484,0.374454484,1099,1099,1099,0.232200927,0.232200927,0.232200927,1099,1099,1099,0.225320846,0.225320846,0.225320846,1099,1099,1099,0.621604107,0.621604107,0.621604107,1099,1099,1099,0.616159518,0.616159518,0.616159518
123,1108,1108,1108,0.296965171,0.296965171,0.296965171,1108,1108,1108,0.382714485,0.382714485,0.382714485,1108,1108,1108,0.259301015,0.259301015,0.259301015,1108,1108,1108,0.22853845,0.22853845,0.22853845,1108,1108,1108,0.657565872,0.657565872,0.657565872,1108,1108,1108,0.655661354,0.655661354,0.655661354
124,1117,1117,1117,0.335713245,0.335713245,0.335713245,1117,1117,1117,0.363157895,0.363157895,0.363157895,1117,1117,1117,0.207844077,0.207844077,0.207844077,1117,1117,1117,0.222807858,0.222807858,0.222807858,1117,1117,1117,0.582021843,0.582021843,0.582021843,1117,1117,1117,0.616789159,0.616789159,0.616789159
125,1126,1126,1126,0.30409272,0.30409272,0.30409272,1126,1126,1126,0.395829129,0.395829129,0.395829129,1126,1126,1126,0.246965128,0.246965128,0.246965128,1126,1126,1126,0.229867205,0.229867205,0.229867205,1126,1126,1126,0.632695012,0.632695012,0.632695012,1126,1126,1126,0.658113041,0.658113041,0.658113041
126,1135,1135,1135,0.312371065,0.312371065,0.312371065,1135,1135,1135,0.384307846,0.384307846,0.384307846,1135,1135,1135,0.230089756,0.230089756,0.230089756,1135,1135,1135,0.215298668,0.215298668,0.215298668,1135,1135,1135,0.623539982,0.623539982,0.623539982,1135,1135,1135,0.610581456,0.610581456,0.610581456
127,1144,1144,1144,0.301865698,0.301865698,0.301865698,1144,1144,1144,0.356590173,0.356590173,0.356590173,1144,1144,1144,0.26648411,0.26648411,0.26648411,1144,1144,1144,0.220934552,0.220934552,0.220934552,1144,1144,1144,0.642345409,0.642345409,0.642345409,1144,1144,1144,0.649507061,0.649507061,0.649507061
128,1153,1153,1153,0.313884993,0.313884993,0.313884993,1153,1153,1153,0.378921118,0.378921118,0.378921118,1153,1153,1153,0.202242015,0.202242015,0.202242015,1153,1153,1153,0.210759252,0.210759252,0.210759252,1153,1153,1153,0.55026395,0.55026395,0.55026395,1153,1153,1153,0.554987963,0.554987963,0.554987963
129,1162,1162,1162,0.335753664,0.335753664,0.335753664,1162,1162,1162,0.380632232,0.380632232,0.380632232,1162,1162,1162,0.231979994,0.231979994,0.231979994,1162,1162,1162,0.226904376,0.226904376,0.226904376,1162,1162,1162,0.636977759,0.636977759,0.636977759,1162,1162,1162,0.648766251,0.648766251,0.648766251
130,1171,1171,1171,0.326007802,0.326007802,0.326007802,1171,1171,1171,0.371697995,0.371697995,0.371697995,1171,1171,1171,0.225897255,0.225897255,0.225897255,1171,1171,1171,0.222300189,0.222300189,0.222300189,1171,1171,1171,0.63241986,0.63241986,0.63241986,1171,1171,1171,0.64519141,0.64519141,0.64519141
131,1180,1180,1180,0.326754967,0.326754967,0.326754967,1180,1180,1180,0.367546056,0.367546056,0.367546056,1180,1180,1180,0.251052594,0.251052594,0.251052594,1180,1180,1180,0.220256652,0.220256652,0.220256652,1180,1180,1180,0.637893346,0.637893346,0.637893346,1180,1180,1180,0.66615099,0.66615099,0.66615099
132,1189,1189,1189,0.337030827,0.337030827,0.337030827,1189,1189,1189,0.39125332,0.39125332,0.39125332,1189,1189,1189,0.23253528,0.23253528,0.23253528,1189,1189,1189,0.231169196,0.231169196,0.231169196,1189,1189,1189,0.651540342,0.651540342,0.651540342,1189,1189,1189,0.67007371,0.67007371,0.67007371
133,1198,1198,1198,0.311570421,0.311570421,0.311570421,1198,1198,1198,0.374669836,0.374669836,0.374669836,1198,1198,1198,0.249479941,0.249479941,0.249479941,1198,1198,1198,0.214533918,0.214533918,0.214533918,1198,1198,1198,0.62058532,0.62058532,0.62058532,1198,1198,1198,0.64425024,0.64425024,0.64425024
134,1207,1207,1207,0.343513915,0.343513915,0.343513915,1207,1207,1207,0.385609544,0.385609544,0.385609544,1207,1207,1207,0.234149094,0.234149094,0.234149094,1207,1207,1207,0.22060177,0.22060177,0.22060177,1207,1207,1207,0.634893446,0.634893446,0.634893446,1207,1207,1207,0.650061501,0.650061501,0.650061501
135,1216,1216,1216,0.340746731,0.340746731,0.340746731,1216,1216,1216,0.367516301,0.367516301,0.367516301,1216,1216,1216,0.25441489,0.25441489,0.25441489,1216,1216,1216,0.220109306,0.220109306,0.220109306,1216,1216,1216,0.645468837,0.645468837,0.645468837,1216,1216,1216,0.667114233,0.667114233,0.667114233
136,1225,1225,1225,0.335966298,0.335966298,0.335966298,1225,1225,1225,0.360554302,0.360554302,0.360554302,1225,1225,1225,0.199529135,0.199529135,0.199529135,1225,1225,1225,0.209794305,0.209794305,0.209794305,1225,1225,1225,0.587999789,0.587999789,0.587999789,1225,1225,1225,0.593290614,0.593290614,0.593290614
137,1234,1234,1234,0.346679291,0.346679291,0.346679291,1234,1234,1234,0.344473008,0.344473008,0.344473008,1234,1234,1234,0.229429429,0.229429429,0.229429429,1234,1234,1234,0.200075844,0.200075844,0.200075844,1234,1234,1234,0.626714178,0.626714178,0.626714178,1234,1234,1234,0.654351531,0.654351531,0.654351531
138,1243,1243,1243,0.34266473,0.34266473,0.34266473,1243,1243,1243,0.399055038,0.399055038,0.399055038,1243,1243,1243,0.23698069,0.23698069,0.23698069,1243,1243,1243,0.218163146,0.218163146,0.218163146,1243,1243,1243,0.626881109,0.626881109,0.626881109,1243,1243,1243,0.655989951,0.655989951,0.655989951
139,1252,1252,1252,0.333354843,0.333354843,0.333354843,1252,1252,1252,0.354517174,0.354517174,0.354517174,1252,1252,1252,0.251535012,0.251535012,0.251535012,1252,1252,1252,0.223174157,0.223174157,0.223174157,1252,1252,1252,0.653779238,0.653779238,0.653779238,1252,1252,1252,0.662898508,0.662898508,0.662898508
140,1261,1261,1261,0.362987914,0.362987914,0.362987914,1261,1261,1261,0.36410822,0.36410822,0.36410822,1261,1261,1261,0.211925447,0.211925447,0.211925447,1261,1261,1261,0.214354208,0.214354208,0.214354208,1261,1261,1261,0.599788695,0.599788695,0.599788695,1261,1261,1261,0.613445378,0.613445378,0.613445378
141,1270,1270,1270,0.342028573,0.342028573,0.342028573,1270,1270,1270,0.37990145,0.37990145,0.37990145,1270,1270,1270,0.254815975,0.254815975,0.254815975,1270,1270,1270,0.221635462,0.221635462,0.221635462,1270,1270,1270,0.635825596,0.635825596,0.635825596,1270,1270,1270,0.675568744,0.675568744,0.675568744
142,1279,1279,1279,0.355078336,0.355078336,0.355078336,1279,1279,1279,0.345790554,0.345790554,0.345790554,1279,1279,1279,0.244901031,0.244901031,0.244901031,1279,1279,1279,0.227190605,0.227190605,0.227190605,1279,1279,1279,0.633482238,0.633482238,0.633482238,1279,1279,1279,0.655479305,0.655479305,0.655479305
143,1288,1288,1288,0.400492005,0.400492005,0.400492005,1288,1288,1288,0.384334139,0.384334139,0.384334139,1288,1288,1288,0.234786241,0.234786241,0.234786241,1288,1288,1288,0.252423151,0.252423151,0.252423151,1288,1288,1288,0.659990371,0.659990371,0.659990371,1288,1288,1288,0.701824783,0.701824783,0.701824783
144,1297,1297,1297,0.389295665,0.389295665,0.389295665,1297,1297,1297,0.39353272,0.39353272,0.39353272,1297,1297,1297,0.225198705,0.225198705,0.225198705,1297,1297,1297,0.233421362,0.233421362,0.233421362,1297,1297,1297,0.629821651,0.629821651,0.629821651,1297,1297,1297,0.67684216,0.67684216,0.67684216
145,1306,1306,1306,0.37672956,0.37672956,0.37672956,1306,1306,1306,0.390827517,0.390827517,0.390827517,1306,1306,1306,0.22969624,0.22969624,0.22969624,1306,1306,1306,0.252690038,0.252690038,0.252690038,1306,1306,1306,0.620425271,0.620425271,0.620425271,1306,1306,1306,0.653608773,0.653608773,0.653608773
146,1315,1315,1315,0.364903814,0.364903814,0.364903814,1315,1315,1315,0.365829146,0.365829146,0.365829146,1315,1315,1315,0.250872633,0.250872633,0.250872633,1315,1315,1315,0.253935254,0.253935254,0.253935254,1315,1315,1315,0.63353779,0.63353779,0.63353779,1315,1315,1315,0.670877486,0.670877486,0.670877486
147,1324,1324,1324,0.362654522,0.362654522,0.362654522,1324,1324,1324,0.356831915,0.356831915,0.356831915,1324,1324,1324,0.25177026,0.25177026,0.25177026,1324,1324,1324,0.239464979,0.239464979,0.239464979,1324,1324,1324,0.631438676,0.631438676,0.631438676,1324,1324,1324,0.65866156,0.65866156,0.65866156
